ccaa_code,ccaa_name,año,nivel_formacion,media_total,nivel_formacion_code
05,Canarias,2017,Educación primaria,14.575,3.0
05,Canarias,2017,Educación superior,24.525,7.0
05,Canarias,2017,Estudios primarios incompletos,6.8,2.0
05,Canarias,2017,Primera etapa de Educación Secundaria y similar,28.225,
05,Canarias,2017,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.45,6.0
05,Canarias,2017,"Segunda etapa de educación secundaria, con orientación general",16.575,5.0
05,Canarias,2018,Analfabetos,1.8,1.0
05,Canarias,2018,Educación primaria,13.674999999999999,3.0
05,Canarias,2018,Educación superior,25.2,7.0
05,Canarias,2018,Estudios primarios incompletos,6.825,2.0
05,Canarias,2018,Primera etapa de Educación Secundaria y similar,28.775,
05,Canarias,2018,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.775,6.0
05,Canarias,2018,"Segunda etapa de educación secundaria, con orientación general",15.95,5.0
05,Canarias,2019,Analfabetos,1.55,1.0
05,Canarias,2019,Educación primaria,13.975,3.0
05,Canarias,2019,Educación superior,27.424999999999997,7.0
05,Canarias,2019,Estudios primarios incompletos,5.625,2.0
05,Canarias,2019,Primera etapa de Educación Secundaria y similar,27.7,
05,Canarias,2019,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.525,6.0
05,Canarias,2019,"Segunda etapa de educación secundaria, con orientación general",16.25,5.0
05,Canarias,2020,Analfabetos,1.85,1.0
05,Canarias,2020,Educación primaria,12.475,3.0
05,Canarias,2020,Educación superior,28.724999999999998,7.0
05,Canarias,2020,Estudios primarios incompletos,5.7,2.0
05,Canarias,2020,Primera etapa de Educación Secundaria y similar,25.825,
05,Canarias,2020,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.525,6.0
