Municipios	Sexo	Periodo	Total
01006 Armiñón	Total	2016	234
01006 Armiñón	Total	2015	244
01006 Armiñón	Total	2014	250
01006 Armiñón	Total	2013	237
01006 Armiñón	Total	2012	231
01006 Armiñón	Total	2011	229
01006 Armiñón	Total	2010	225
01006 Armiñón	Total	2009	207
01006 Armiñón	Total	2008	198
01006 Armiñón	Total	2007	199
01006 Armiñón	Total	2006	179
01006 Armiñón	Total	2005	175
01006 Armiñón	Total	2004	162
01006 Armiñón	Total	2003	170
01006 Armiñón	Total	2002	167
01006 Armiñón	Total	2001	158
01006 Armiñón	Total	2000	146
01006 Armiñón	Total	1999	153
01006 Armiñón	Total	1998	145
01006 Armiñón	Total	1997	""
01006 Armiñón	Total	1996	139
01006 Armiñón	Hombres	2024	127
01006 Armiñón	Hombres	2023	120
01006 Armiñón	Hombres	2022	120
01006 Armiñón	Hombres	2021	117
01006 Armiñón	Hombres	2020	115
01006 Armiñón	Hombres	2019	119
01006 Armiñón	Hombres	2018	115
01006 Armiñón	Hombres	2017	128
01006 Armiñón	Hombres	2016	121
01006 Armiñón	Hombres	2015	123
01006 Armiñón	Hombres	2014	129
01006 Armiñón	Hombres	2013	121
01006 Armiñón	Hombres	2012	115
01006 Armiñón	Hombres	2011	112
01006 Armiñón	Hombres	2010	112
01006 Armiñón	Hombres	2009	103
01006 Armiñón	Hombres	2008	103
01006 Armiñón	Hombres	2007	108
01006 Armiñón	Hombres	2006	94
01006 Armiñón	Hombres	2005	94
01006 Armiñón	Hombres	2004	83
01006 Armiñón	Hombres	2003	87
01006 Armiñón	Hombres	2002	85
01006 Armiñón	Hombres	2001	82
01006 Armiñón	Hombres	2000	76
01006 Armiñón	Hombres	1999	78
01006 Armiñón	Hombres	1998	75
01006 Armiñón	Hombres	1997	""
01006 Armiñón	Hombres	1996	73
01006 Armiñón	Mujeres	2024	120
01006 Armiñón	Mujeres	2023	112
01006 Armiñón	Mujeres	2022	115
01006 Armiñón	Mujeres	2021	114
01006 Armiñón	Mujeres	2020	108
01006 Armiñón	Mujeres	2019	108
01006 Armiñón	Mujeres	2018	104
01006 Armiñón	Mujeres	2017	111
01006 Armiñón	Mujeres	2016	113
01006 Armiñón	Mujeres	2015	121
01006 Armiñón	Mujeres	2014	121
01006 Armiñón	Mujeres	2013	116
01006 Armiñón	Mujeres	2012	116
01006 Armiñón	Mujeres	2011	117
01006 Armiñón	Mujeres	2010	113
01006 Armiñón	Mujeres	2009	104
01006 Armiñón	Mujeres	2008	95
01006 Armiñón	Mujeres	2007	91
01006 Armiñón	Mujeres	2006	85
01006 Armiñón	Mujeres	2005	81
01006 Armiñón	Mujeres	2004	79
01006 Armiñón	Mujeres	2003	83
01006 Armiñón	Mujeres	2002	82
01006 Armiñón	Mujeres	2001	76
01006 Armiñón	Mujeres	2000	70
01006 Armiñón	Mujeres	1999	75
01006 Armiñón	Mujeres	1998	70
01006 Armiñón	Mujeres	1997	""
01006 Armiñón	Mujeres	1996	66
01037 Arraia-Maeztu	Total	2024	822
01037 Arraia-Maeztu	Total	2023	812
01037 Arraia-Maeztu	Total	2022	804
01037 Arraia-Maeztu	Total	2021	800
01037 Arraia-Maeztu	Total	2020	733
01037 Arraia-Maeztu	Total	2019	726
01037 Arraia-Maeztu	Total	2018	717
01037 Arraia-Maeztu	Total	2017	725
01037 Arraia-Maeztu	Total	2016	722
01037 Arraia-Maeztu	Total	2015	712
01037 Arraia-Maeztu	Total	2014	714
01037 Arraia-Maeztu	Total	2013	731
01037 Arraia-Maeztu	Total	2012	739
01037 Arraia-Maeztu	Total	2011	722
01037 Arraia-Maeztu	Total	2010	708
01037 Arraia-Maeztu	Total	2009	710
01037 Arraia-Maeztu	Total	2008	707
01037 Arraia-Maeztu	Total	2007	718
01037 Arraia-Maeztu	Total	2006	728
01037 Arraia-Maeztu	Total	2005	734
01037 Arraia-Maeztu	Total	2004	736
01037 Arraia-Maeztu	Total	2003	738
01037 Arraia-Maeztu	Total	2002	733
01037 Arraia-Maeztu	Total	2001	715
01037 Arraia-Maeztu	Total	2000	698
01037 Arraia-Maeztu	Total	1999	712
01037 Arraia-Maeztu	Total	1998	692
01037 Arraia-Maeztu	Total	1997	""
01037 Arraia-Maeztu	Total	1996	684
01037 Arraia-Maeztu	Hombres	2024	451
01037 Arraia-Maeztu	Hombres	2023	450
01037 Arraia-Maeztu	Hombres	2022	445
01037 Arraia-Maeztu	Hombres	2021	447
01037 Arraia-Maeztu	Hombres	2020	414
01037 Arraia-Maeztu	Hombres	2019	403
01037 Arraia-Maeztu	Hombres	2018	399
01037 Arraia-Maeztu	Hombres	2017	404
01037 Arraia-Maeztu	Hombres	2016	409
01037 Arraia-Maeztu	Hombres	2015	404
01037 Arraia-Maeztu	Hombres	2014	411
01037 Arraia-Maeztu	Hombres	2013	415
01037 Arraia-Maeztu	Hombres	2012	417
01037 Arraia-Maeztu	Hombres	2011	402
01037 Arraia-Maeztu	Hombres	2010	399
01037 Arraia-Maeztu	Hombres	2009	400
01037 Arraia-Maeztu	Hombres	2008	395
01037 Arraia-Maeztu	Hombres	2007	394
01037 Arraia-Maeztu	Hombres	2006	399
01037 Arraia-Maeztu	Hombres	2005	407
01037 Arraia-Maeztu	Hombres	2004	408
01037 Arraia-Maeztu	Hombres	2003	409
01037 Arraia-Maeztu	Hombres	2002	402
01037 Arraia-Maeztu	Hombres	2001	387
01037 Arraia-Maeztu	Hombres	2000	375
01037 Arraia-Maeztu	Hombres	1999	380
01037 Arraia-Maeztu	Hombres	1998	369
01037 Arraia-Maeztu	Hombres	1997	""
01037 Arraia-Maeztu	Hombres	1996	363
01037 Arraia-Maeztu	Mujeres	2024	371
01037 Arraia-Maeztu	Mujeres	2023	362
01037 Arraia-Maeztu	Mujeres	2022	359
01037 Arraia-Maeztu	Mujeres	2021	353
01037 Arraia-Maeztu	Mujeres	2020	319
01037 Arraia-Maeztu	Mujeres	2019	323
01037 Arraia-Maeztu	Mujeres	2018	318
01037 Arraia-Maeztu	Mujeres	2017	321
01037 Arraia-Maeztu	Mujeres	2016	313
01037 Arraia-Maeztu	Mujeres	2015	308
01037 Arraia-Maeztu	Mujeres	2014	303
01037 Arraia-Maeztu	Mujeres	2013	316
01037 Arraia-Maeztu	Mujeres	2012	322
01037 Arraia-Maeztu	Mujeres	2011	320
01037 Arraia-Maeztu	Mujeres	2010	309
01037 Arraia-Maeztu	Mujeres	2009	310
01037 Arraia-Maeztu	Mujeres	2008	312
01037 Arraia-Maeztu	Mujeres	2007	324
01037 Arraia-Maeztu	Mujeres	2006	329
01037 Arraia-Maeztu	Mujeres	2005	327
01037 Arraia-Maeztu	Mujeres	2004	328
01037 Arraia-Maeztu	Mujeres	2003	329
01037 Arraia-Maeztu	Mujeres	2002	331
01037 Arraia-Maeztu	Mujeres	2001	328
01037 Arraia-Maeztu	Mujeres	2000	323
01037 Arraia-Maeztu	Mujeres	1999	332
01037 Arraia-Maeztu	Mujeres	1998	323
01037 Arraia-Maeztu	Mujeres	1997	""
01037 Arraia-Maeztu	Mujeres	1996	321
01008 Arratzua-Ubarrundia	Total	2024	1.047
01008 Arratzua-Ubarrundia	Total	2023	1.043
01008 Arratzua-Ubarrundia	Total	2022	1.031
